S.N,Company,High,Low,Average,Closing,Trade Volume,Share Volume
333.,SDBD87,"1,000.10",895.00,"960.45899.005,221,6435,400",899.00,"5,221,643","5,400"
334.,MKJC,605.00,186.50,"460.33580.00332,388,995653,742",580.00,"332,388,995","653,742"
335.,MLBS,"2,189.10",397.50,"1,270.111,462.00227,826,197136,747","1,462.00","227,826,197","136,747"
336.,SAHAS,789.40,405.30,"618.40584.002,068,646,0973,152,710",584.00,"2,068,646,097","3,152,710"
337.,TPC,655.90,254.20,"487.95589.90262,681,697476,716",589.90,"262,681,697","476,716"
338.,MMF1,10.28,8.58,"9.179.2812,455,4671,349,772",9.28,"12,455,467","1,349,772"
339.,NBF3,10.08,9.13,"9.609.5017,984,9531,869,317",9.50,"17,984,953","1,869,317"
340.,SPC,745.00,296.30,"475.64661.60170,956,794315,610",661.60,"170,956,794","315,610"
341.,NYADI,545.00,282.30,"409.32485.10288,985,369656,051",485.10,"288,985,369","656,051"
342.,NBLD85,"1,000.00",865.00,"914.25870.002,345,1732,575",870.00,"2,345,173","2,575"
343.,MBJC,505.00,100.00,"305.88447.00546,735,9951,163,734",447.00,"546,735,995","1,163,734"
344.,BNHC,421.10,246.70,"329.90421.102,499,2706,036",421.10,"2,499,270","6,036"
